"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"29000","Missouri state total","4","CA1","1","...","Personal income (thousands of dollars)",16884221,18437396,19898453,21643396,24037988,25725396,28177729,30858137,34195610,38083133,42467120,46090765,51466552,54991252,58675314,65050681,69635804,73376484,77319358,82003345,87798850,91773727,95972532,102405335,107142686,113502853,119307169,126395827,134265735,140934839,146737008,156903173,162089578,165486900,172068839,181545945,187778625,199490640,209373311,220897747,217131669,220251923,229108112,240120072,240825428,249263293,257338334
"29000","Missouri state total","4","CA1","2","...","Population (persons) 1/",4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996052,6010587,6025468,6043708,6063827,6083672
"29000","Missouri state total","4","CA1","3","...","Per capita personal income (dollars) 2/",3639,3936,4213,4553,5035,5376,5876,6397,7058,7818,8686,9364,10435,11156,11869,13075,13926,14608,15290,16137,17230,17894,18560,19629,20326,21317,22183,23271,24496,25524,26382,27982,28733,29162,30138,31586,32430,34144,35562,37289,36425,36733,38117,39851,39847,41107,42300
"29001","Adair, MO","4","CA1","1","...","Personal income (thousands of dollars)",56648,61022,66535,74772,89509,98626,112491,124389,136528,150928,171462,184653,208211,212945,225076,234722,243544,250091,258650,268412,298554,313570,337554,364487,380923,404410,418153,432390,453001,461266,478612,508092,529856,529319,534083,563124,582174,608832,634260,680053,716545,691626,722550,726183,740438,755798,766107
"29001","Adair, MO","4","CA1","2","...","Population (persons) 1/",22534,22413,22294,23360,23945,23893,23438,24099,24055,24333,24500,24957,25257,25361,25527,25516,25314,24744,24766,24489,24567,24584,24574,24690,24844,24959,24998,24883,24871,24887,24961,24956,24967,25072,24958,24988,24849,25007,24983,25399,25577,25614,25597,25643,25653,25530,25378
"29001","Adair, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2514,2723,2984,3201,3738,4128,4800,5162,5676,6203,6998,7399,8244,8397,8817,9199,9621,10107,10444,10961,12153,12755,13736,14763,15333,16203,16727,17377,18214,18534,19174,20360,21222,21112,21399,22536,23428,24346,25388,26775,28015,27002,28228,28319,28864,29604,30188
"29003","Andrew, MO","4","CA1","1","...","Personal income (thousands of dollars)",42079,42948,47772,53170,64887,61885,69647,72788,85200,95697,111209,111238,128849,133562,141122,158882,174989,178922,184109,189007,210265,221310,236753,253777,261139,282748,296978,322862,354364,376189,405369,431110,444013,444511,458160,502923,493802,516276,568142,616407,618042,610830,638720,649870,678396,684832,679765
"29003","Andrew, MO","4","CA1","2","...","Population (persons) 1/",12044,12008,12410,12616,12818,12980,13483,13442,13431,13833,13793,14016,14132,14270,14511,14710,14610,14477,14537,14598,14534,14696,14898,15042,15157,15416,15633,15727,15948,16212,16308,16522,16580,16501,16608,16580,16511,16861,16834,16924,17036,17319,17265,17391,17368,17322,17296
"29003","Andrew, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3494,3577,3849,4214,5062,4768,5166,5415,6344,6918,8063,7937,9118,9360,9725,10801,11977,12359,12665,12947,14467,15059,15892,16871,17229,18341,18997,20529,22220,23204,24857,26093,26780,26938,27587,30333,29907,30620,33750,36422,36279,35269,36995,37368,39060,39535,39302
"29005","Atchison, MO","4","CA1","1","...","Personal income (thousands of dollars)",31191,35099,36953,44370,55144,46078,53659,55748,55762,66156,74268,49478,80235,80985,75651,94728,104327,105235,99535,88874,94153,109151,115417,125378,105599,137960,120261,152652,154904,152697,151875,166009,167658,157213,170622,187939,176567,176543,194420,228190,247128,237087,257538,248162,285926,269516,217125
