"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"29000","Missouri state total","4","CA6N","1","...","Compensation of employees (thousands of dollars) 1/",112150378,115136516,118681788,123827508,129614025,136026796,141768368,147708437,142788785,143413974,145432190,151086746,154831399,159311045,166821026
"29000","Missouri state total","4","CA6N","5","...","  Wages and salaries",91859770,93506501,95754230,99438536,103902707,108850824,113849300,118961245,113779984,114025700,116652991,121476667,123873462,128577062,134523098
"29000","Missouri state total","4","CA6N","6","...","  Supplements to wages and salaries",20290608,21630015,22927558,24388972,25711318,27175972,27919068,28747192,29008801,29388274,28779199,29610079,30957937,30733983,32297928
"29000","Missouri state total","4","CA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",13722488,14937082,15999887,17245323,18191576,19234103,19650883,20099402,20648085,21079022,20166652,20731429,21870765,21397670,22532747
"29000","Missouri state total","4","CA6N","8","...","    Employer contributions for government social insurance",6568120,6692933,6927671,7143649,7519742,7941869,8268185,8647790,8360716,8309252,8612547,8878650,9087172,9336313,9765181
"29000","Missouri state total","4","CA6N","9","...","Average compensation per job (dollars) 3/",39612,40975,42359,44000,45599,47219,48903,50977,51177,52329,52945,54338,55083,56150,57766
"29000","Missouri state total","4","CA6N","81","111-112","  Farm compensation",275624,256956,274651,227172,257551,216611,321175,288979,305185,291148,293197,437226,301017,386338,365138
"29000","Missouri state total","4","CA6N","82","...","  Nonfarm compensation",111874754,114879560,118407137,123600336,129356474,135810185,141447193,147419458,142483600,143122826,145138993,150649520,154530382,158924707,166455888
"29000","Missouri state total","4","CA6N","90","113-814","    Private nonfarm compensation",92603730,94606083,96932387,100992612,105861481,111196408,115624485,120266529,114190799,114470393,116674448,122236502,125930603,130249604,137139063
"29000","Missouri state total","4","CA6N","100","113-115","      Forestry, fishing, and related activities",113301,123125,156801,154786,142108,150828,142811,156712,168711,165779,163667,179037,181349,191812,199557
"29000","Missouri state total","4","CA6N","101","113","        Forestry and logging","(D)",7019,7043,7930,8635,8780,8543,6984,5961,6203,7906,7197,6070,7160,8211
"29000","Missouri state total","4","CA6N","102","114","        Fishing, hunting and trapping","(D)",305,309,422,375,473,454,380,341,330,393,641,697,920,977
"29000","Missouri state total","4","CA6N","103","115","        Support activities for agriculture and forestry",106151,115801,149449,146434,133098,141575,133814,149348,162409,159246,155368,171199,174582,183732,190369
"29000","Missouri state total","4","CA6N","200","21","      Mining, quarrying, and oil and gas extraction",264454,249251,284339,329790,435766,315125,382213,410383,303910,296267,329837,335903,325205,325894,334783
"29000","Missouri state total","4","CA6N","201","211","        Oil and gas extraction",743,667,689,859,776,920,1001,1747,1755,2404,2382,1965,2191,2093,1820
"29000","Missouri state total","4","CA6N","202","212","        Mining (except oil and gas)",261061,244114,274428,313646,416036,287196,319249,327402,280078,277628,306616,309604,299961,300868,314006
"29000","Missouri state total","4","CA6N","203","213","        Support activities for mining",2650,4470,9222,15285,18954,27009,61963,81234,22077,16235,20839,24334,23053,22933,18957
"29000","Missouri state total","4","CA6N","300","22","      Utilities",1106425,1226171,993091,1055857,1056836,1185180,1230061,1325152,1363940,1412695,1428839,1359603,1438300,1461381,1476469
"29000","Missouri state total","4","CA6N","400","23","      Construction",6818729,6802903,6893190,7152919,7569413,7966020,8364186,8450038,7416812,6567041,6357385,6646968,6933911,7282484,7778710
"29000","Missouri state total","4","CA6N","401","236","        Construction of buildings",1543190,1566538,1591716,1697984,1794506,1926323,2050657,2042070,1699572,1509184,1391877,1452029,1497396,1629424,1769096
"29000","Missouri state total","4","CA6N","402","237","        Heavy and civil engineering construction",958182,925138,949770,944340,989909,1018939,1062929,1145897,1204701,1038478,1025159,1066711,1126918,1156730,1158634
"29000","Missouri state total","4","CA6N","403","238","        Specialty trade contractors",4317357,4311227,4351704,4510595,4784998,5020758,5250600,5262071,4512539,4019379,3940349,4128228,4309597,4496330,4850980
"29000","Missouri state total","4","CA6N","500","31-33","      Manufacturing",16571645,16448598,16581254,17296291,17687005,18225373,18351590,18670518,16365431,15823399,16091414,16847512,17402819,18262681,19136343
"29000","Missouri state total","4","CA6N","510","321,327-339","        Durable goods manufacturing",10385742,10340623,10550946,11169513,11487509,11807384,11731962,11181998,9868967,9413482,9760592,10039819,10635771,11350182,11964898
"29000","Missouri state total","4","CA6N","511","321","          Wood product manufacturing",317107,315451,319512,330779,348741,376546,361346,342618,272904,281841,289569,303728,299832,324184,346273
"29000","Missouri state total","4","CA6N","512","327","          Nonmetallic mineral product manufacturing",465007,454390,457060,472878,504793,536483,532857,525456,444025,442364,445615,457166,408085,425954,468815
"29000","Missouri state total","4","CA6N","513","331","          Primary metal manufacturing",508797,483045,468587,498187,528784,556299,543298,524309,427341,399588,476927,509857,497539,501249,527058
"29000","Missouri state total","4","CA6N","514","332","          Fabricated metal product manufacturing",1535485,1518393,1541928,1662410,1716001,1761228,1863077,1909944,1729498,1712841,1763464,1844212,1910792,1726432,1775041
"29000","Missouri state total","4","CA6N","515","333","          Machinery manufacturing",1436868,1377030,1399069,1425513,1510836,1645042,1658057,1681680,1472803,1519648,1589589,1652884,1614200,1632571,1723869
"29000","Missouri state total","4","CA6N","516","334","          Computer and electronic product manufacturing",553502,511271,500244,496946,550861,557882,630451,529912,451042,396631,389947,464968,527340,856103,891900
